termo;traducao
#rosto_feliz;feliz
#rosto_piscando;feliz
#rosto_triste;triste
%;neutro
*;neutro
:;tedio
:';tedio
:*;beijo
:/;tédio
:|;neutro
:c;triste
:d;triste
:o;assutado
:p;feliz
:v;feliz
^^;feliz
_;neutro
|;neutro
+;demais
=;igual
aaaa*;grito
aah;suspiro
abcs;abraços
add;adicionar
ae*;saudação
af;suspiro
aff*;suspiro
agnt;a gente
agr;agora
agt;agitar
ah;suspiro
ahaha;risos
ahahaha;risos
ahhh;suspiro
ai*;expressão
ain;expressão
aki;aqui
algm;alguém
amg;amigo
amgs;amigos
amoo*;amo
amr;amor
and;e
app;aplicativo
apps;aplicativos
aq;aqui
aql;aquilo
arrasani;arrasando
atoa;a toa
bad;mau
bah;expressão
bao;bom
bapho;fofoca
bbs;bebês
because;porque
bgd;obrigado
big;grande
biuriful;lindo
bixas;gays
bixo;rapaz
bj;beijo
bjao;beijão
bjo*;beijo
bjs;beijos
bju*;beijo
blz;beleza
bm;bom
brow;irmão
brusinha;blusa
buceta;palavrão
bugado;quebrado
but;porém
bv;boca virgem
cacete;palavrão
carai;palavrão
caraio;palavrão
caralh*;palavrão
cd;cadê
ceis;vocês
ces;vocês
chic;chique
cmg;comigo
cmo;como
cntg;contigo
corn;pipoca
cr;cara
crl;palavrão
crlh;palavrão
crtz;certeza
crush;namorado
cs;casa
ctg;contigo
ctz;certeza
cuzao;palavrão
d+*;demais
dahora;demais
dao;demais
daora;demais
dd;mensagem reservada
ddy;papai
deos;Deus
dis;diz
dislike;não gostar
divaaa;muito bonita
divando;muito bonita
dlc;delícia
dm;demais
dmais;demais
dms;demais
dmss;demais
dnv;de novo
doi;doer
doq;do que
doque;do que
dorei;adorei
dp;depressão
dps;depois
dq;de que
ds;das
dsclp;desculpa
ea;olá
eae;olá
eai;olá
eca;nojo
ein;explique
entt;então
er;é
fais;faz
faiz;faz
fake;mentira
fas;fazer
faso;fazer
fasso;fazer
fc;ficar
fd;palavrão
fdp;palavrão
fdps;palavrão
fds;fim de semana
fe;fé
feh;fé
fih;filho
fiih;filho
fika;ficar
fikar;ficar
fikei;ficar
fiko;ficar
fk;fica
flop;ninguém gostou
flopada;ninguém gostou
flopado;ninguém gostou
flopar;ninguém gostou
flopou;ninguém gostou
flr;falar
flw;falou
fod*;palavrão
forever;para sempre
fud*;palavrão
full;cheio
fz;fazer
fzd;fazendo
fznd;fazendo
fzr;fazer
galera;pessoas
girl;garota
glr;garota
gnt;gente
gta;aguentar
guento;aguentar
gui;rapaz
gzuis;Jesus
haha*;risada
haters;odiadores
he*;risada
heim;expressão
hello;olá
help;ajuda
hey;olá
hj;hoje
hje;hoje
hm;homem
hr*;horas
hs;horas
iae;olá
jah;já
karai;palavrão
karalho;palavrão
kct;palavrão
kd;cadê
ke;que
kero;quero
ki;aqui
kkk*;risada
kra;rapaz
krai;palavrão
kralho;palavrão
krl;palavrão
krlh;palavrão
ksa;casa
ksks*;risada
laique;gostar
lek;moleque
life;vida
loko;louco
lol;risada
mamis;mãe
manoo*;irmão
mermao;meu caro
mds*;meu Deus
men;homem
meo;meu
mh;minha
mha;minha
migs;amiga
milk;leite
mimimi;chorar
mitou;fez o melhor
mix;mistura
mlhr;melhor
mlq;moleque
mlk;moleque
mlks;moleques
mlr;melhor
mn;mano
molecada;rapaz
monamores;meu amor
mouth;boca
msg;mensagem
msm;mesmo
msmo;mesmo
mt;muito
mtt;muito
mta;muita
mtas;muitas
mto*;muito
mts*;muitos
mucho;muito
mulek;moleque
muitissimo;muitos
muy;muito
namoral;falando sério
naum;não
ñ;não
nd;nada
nda;nada
neh;pois é
never;nunca
ngm;ninguém
ngn;ninguém
niver;aniversário
nmrl;falando sério
nois;nós
nss;nossa
nude;nudez
nudes;nudez
numa;em uma
nv;novo
obg*;obrigado
obrg;obrigado
oie;olá
oii;olá
okay;ok
oloko;loucura
omg;o meu Deus
oq;o que
pakas;muito
pap;pai
pas;paz
pelamor;pelo amor
pff;por favor
pfr;por favor
pfv;por favor
pfvr;por favor
pfvrrr;por favor
pika;palavrão
piroca;palavrão
pk;por que
plmdds;pelo amor de Deus
plmds;pelo amor de Deus
pls;por favor
pnc;palavrão
poha;palavrão
polado;com raiva
porfavor;por favor
porrada;palavrão
pow;poxa
ppk;palavrão
pq;por que
pqp;palavrão
prf;por favor
prfv;por favor
prq;por que
pse;pois é
punheta;palavrão
pussycat;palavrão
putasso;com raiva
puts;expressão
putz;expressão
pv;privado
pvf;por favor
qd;quando
qdo;quando
qe;o que é
qie;o que é
qlq;qualquer
qlqr;qualquer
qm;quem
qnd;quando
qndo;quando
qnt;quanto
qnto;quanto
qqr;qualquer
qr;quero
qria;queria
qro;quero
qse;quase
qt;quanto
qto;quanto
queen;rainha
qur;que
raxei;rachar
rlx;relaxa
rs*;risada
ruin;ruim
sad;triste
sb;gente boa
scrr*;socorro
sdd;saudades
sdds;saudades
sds;saudades
secrets;segredos
seila;sei lá
seriao;sério
sla;sei lá
slc;só louco
slk;só louco
smp;sempre
snz;somente nós
soh;só
sonserina;sonso
soq;só que
sorry;desculpe
sqn;só que não
tadinha;coitada
ta;está
tah;está
tals;e tal
tamos;estamos
tar;estar
tauz;e tal
tavam;estavam
tb;também
tbt;nostalgia
tbem;também
tbm;também
td;tudo
tda;toda
tdah;toda
tdo;tudo
tdos;todos
tds;todos
textao;grande texto
tlg;entendeu
tlgd;entendeu
tm;também
tmb;também
tmbm;também
tmj;estamos juntos
tmnc;palavrão
tmp;tempo
tnc;palavrão
tnh;tenho
to;estou
toc;entidade nomeada
tou;estou
toxic;tóxico
tp;tipo
troxa;trouxa
tutupom;tudo bom
uhu;felicidade
uhul;felicidade
uhuuu;felicidade
uhuuuu;felicidade
uo;horrível
uq;o que
va;vai
vc;você
vcs;vocês
vd;verdade
vdd;verdade
vdds;verdade
ve;veja
veem;veja
ves;vez
vey;rapaz
viada;palavrão
viadagem;palavrão
viadas;palavrão
viadinho;palavrão
vibe;energia
vibes;boas energias
vih;vi
vish;expressão
vixe;expressão
vixi;expressão
vlw;valeu
vm;vamos
vma;entidade nomeada
vms;vamos
vmz;vamos
vrdd;verdade
vsf;palavrão
vsfd;palavrão
vtnc;palavrão
vx;expressão
vz;vezes
vzs;vezes
wow;expressão
wpp;whatsapp
wtf;o que é isto
xd;risada
xoxa;triste
zika;problema
zoera;bagunça
zuada;bagunçada
zuado;bagunçado
zuando;brincando
zuar;brincar
zuera;brincadeira
